#Object,Effective,temperature,Luminosity,Radius,Chi^2
#Name,Kelvin,Solar,luminosities,Solar,Radii
HIP,69673,4328.411024212837,176.05802750582723,24.86243250424329,0.014806516257695922
HIP,82396,4501.803719052114,53.712875320111934,12.661709066509646,0.0003520220366566197
HIP,21421,3824.129703640938,412.52964032603245,50.572269338404105,0.01570374489436183
HIP,102488,4728.459792332724,55.83979321293721,11.706511964843708,2.0826349722537517e-05
HIP,61084,3557.254532680963,801.5523559498431,87.50881437915847,0.022397869860666064
HIP,72607,4041.8636903486913,435.33069853910064,48.919261673286634,0.011365640674894394
HIP,89642,3580.0761038219207,486.38631681885056,66.0894009875144,0.003080035112656982
HIP,87833,3972.271453777794,567.2072479400495,57.837815870013586,0.0232486866804306
HIP,79593,3765.005320472119,558.7936466840235,61.43639366328528,0.0006266425757166763
HIP,112122,3438.9730656848405,3065.84600853425,198.9077990952506,0.048203887953955436
HIP,21479,2602.078027781099,6775.296951747764,555.1229249692946,0.06369634147549562
HIP,46390,4166.331286802888,786.0393330561526,59.82705296654825,0.00047454882349426544
HIP,67457,3366.2002558392123,785.0448793150459,98.43659092063655,0.024957996257129175
HIP,36377,3935.9039163932903,366.84935422350696,46.63944092189855,0.00016420258817564177
HIP,113881,3531.943148974824,1711.084307063748,137.40827485711938,0.02100304809956775
HIP,5447,3832.8062273561954,1434.8881822955377,105.04887639622979,0.03554656909547548
HIP,63090,3576.231247301912,653.6384900849358,75.19345810001671,0.02370539804069268
HIP,114724,3765.4805417521857,269.61513881889755,41.76241263821255,9.642982186834337e-05
HIP,45860,3874.932646751404,489.7843402532493,56.44910776623641,0.01522051908961439
HIP,18543,3773.3000210719183,558.920122047435,61.83378236655564,0.0003607287714990633
HIP,34922,3247.1087746554986,1922.6604114818758,181.31512381915746,0.016103326269967872
HIP,17678,3695.134800672531,648.7807216545004,76.23051241647113,0.029523834968385298
HIP,3179,4717.877911857795,722.4069080568579,48.39091206715607,5.473465282125038e-05
HIP,50801,3770.82104254514,772.2561358472772,76.7471169356242,0.027244405973351267
HIP,30343,3522.8537895272893,1636.250567750388,134.63702736918282,0.0017866736573459786
HIP,48036,2102.6882763113827,2259.4232050530813,462.35991942736683,0.01980839320187127
HIP,6867,3796.7237317934632,534.298030065173,61.981055706460424,0.00033907923546711065
HIP,14135,3660.9872919140616,1748.2150452503113,122.80197948559962,0.019015452972504638
HIP,75177,3945.0351199530996,555.3642760303931,58.78419175914954,0.00037732937625854643
HIP,73714,3539.937709525184,1692.695140215443,137.768209287717,0.020671567426377956
HIP,110256,3316.513168439269,1174.6882767453017,145.54127334423026,0.16102578331324685
HIP,9347,3759.5378530269954,593.6828594950298,66.81421669181455,0.013028756556536986
HIP,92862,3332.93900039047,2816.556930342604,222.38568530066811,0.024017670990374513
HIP,10826,3421.657992247492,8370.906133727134,355.2073593424441,0.01384728355379768
HIP,59929,3391.485014837235,1678.0254213779544,166.7434876640548,0.005594930813761993
HIP,15474,3509.634646952036,1486.2389137141574,130.4213341131132,0.000733484287554617
HIP,14354,3438.3877449226566,2924.27691472307,207.9608552236884,0.028555326309650773
HIP,111043,3500.743342228234,1427.9783011468464,139.15162781019293,0.0006978211526989367
HIP,56211,3742.1390474773943,810.7484982545528,86.95827233982483,0.01393663528033117
HIP,67419,2123.3225348428823,8542.283751301235,896.4241447882736,0.040458566913490986
HIP,8837,3492.441364377737,1163.1893453930968,122.93467779049188,0.04340970056475931
HIP,89931,4338.569472301751,1414.9458659340698,80.05385362558937,0.00035000355606127064
HIP,13654,3258.7137550046464,1431.8966205225959,145.18385113960085,0.034164236806368826
HIP,80704,3222.3552095663035,4080.1531517449703,297.3618125233487,0.03288666191751233
HIP,84345,3261.19376052171,15159.685886365536,595.268038182495,0.00530301571892936
HIP,21763,3555.715351982508,1433.2550121962797,125.9596667754855,0.023469326861449397
HIP,68815,3154.7158556524664,7861.986804825598,482.0654395847966,0.0058219599224163835
HIP,107516,3003.1509579066187,7908.628162894178,420.8278448100195,0.007007680873658197
HIP,67627,3533.1102948635817,996.0679135489348,118.84435593571169,0.00013014710694215676
HIP,84380,4207.381188403815,1145.448404374182,77.26705052309002,0.007532345532479472
HIP,101810,3207.617399166338,1837.853293990761,175.0225142655119,0.0581313617185887
HIP,29655,3516.886370438151,3164.253285612948,202.45019423910392,0.0014596699251825695
HIP,112961,3621.2493567261845,1381.5357374528528,112.07395522001029,0.0013464670673068745
HIP,53449,3305.3441048471723,1427.3788239878634,135.77425303028383,0.033363882605798235
HIP,82273,4199.931556585652,3829.453841627336,168.2206471021446,6.004215652782227e-05
HIP,9640,4292.884594600182,2929.6665606278175,126.75510515090896,0.01348066637556421
HIP,97278,4141.439327504486,2184.2063228703655,108.22461567345736,0.00028329178885483955
HIP,55219,4174.208238928695,988.874961353502,72.59861384177158,0.00012383927686185532
HIP,35205,3651.39914790052,854.9748180862669,92.00169802576103,0.00022667835909647124
HIP,65835,2238.5713901370764,7907.971167549805,782.2890071254564,0.06610881579840432
HIP,118188,6200.285874316469,2.281916694327325,1.4749968980281805,0.00012133380293968224
HIP,106044,3335.37131678313,1655.5669709133883,188.9271543241246,0.0001602903186432508
HIP,51839,3851.246177405119,967.4865963046151,92.81520604257842,0.03060636004611141
HIP,108924,3472.9152520687785,923.5542161868993,117.73012618507407,0.00033792093057086414
HIP,57800,3110.2423023758456,1865.164088142906,192.41131126763977,0.003021040159784037
HIP,95947,4379.014960024506,1220.7707892004441,72.14897182546761,0.00046099709585964167
